state_code,dist_code,pending_cases
8,15,7184
8,16,3132
8,17,11441
8,18,11479
8,19,4045
8,20,2708
8,21,6833
8,22,5051
8,23,11513
8,24,10045
8,25,4191
8,26,9092
8,27,3317
8,28,20955
8,29,17625
8,30,12903
8,31,14063
8,33,12895
8,34,15074
8,35,15083
8,36,6854
8,37,1751
8,38,21705
8,39,5896
9,1,7012
9,2,19702
9,3,5742
9,4,44549
9,5,6465
9,6,8254
9,7,17780
9,8,9744
9,9,17391
9,10,7430
9,11,9894
9,12,7507
9,13,9222
9,14,20457
9,18,6950
9,19,12287
9,20,17720
9,21,4053
9,22,6284
9,23,3185
9,24,3108
9,25,4147
9,26,4438
9,27,4109
9,28,7217
9,29,4846
9,30,11084
9,31,12625
9,32,2539
9,33,6842
9,34,3380
9,35,11252
9,36,5771
9,38,5120
9,39,4937
9,40,9
10,1,4929
10,2,4630
10,3,15160
10,4,5165
10,5,6692
10,6,5285
10,7,9241
10,8,12199
10,9,7317
10,10,11723
10,11,11041
10,12,12088
10,13,40469
10,14,6421
10,15,13343
10,16,2197
10,17,8348
10,18,18459
10,19,6147
10,20,11580
10,21,3713
10,22,8261
10,23,2293
10,24,11530
10,25,3370
10,26,6863
10,27,8675
10,28,7615
10,29,5342
10,30,3408
10,31,11489
10,32,10483
10,33,11839
11,1,17920
11,2,6014
11,3,2724
11,4,8445
11,5,17244
11,6,7267
11,7,5708
11,8,13045
11,9,1938
11,10,5935
11,11,7873
11,12,6574
11,13,7684
11,14,6668
11,15,6405
11,16,9080
11,17,6247
11,18,11313
11,19,6368
11,20,2411
11,21,5164
11,22,2853
11,23,3362
11,24,2552
11,26,8041
11,27,6407
11,29,6383
11,30,1412
11,31,2440
11,32,735
12,1,1396
12,2,1961
12,3,4057
12,4,2837
12,5,6461
12,6,1301
12,7,793
12,8,1804
12,9,772
12,10,654
12,11,2161
12,12,951
12,13,2635
12,14,844
12,15,1613
12,16,128
12,17,90
12,18,512
12,19,10096
12,20,582
12,21,1232
12,22,482
13,1,34854
13,2,25248
13,3,32148
13,4,19972
13,5,4484
13,6,39046
13,7,25348
13,8,33860
13,9,16360
13,10,26366
13,11,6152
13,12,27004
13,13,9626
13,14,14041
13,15,17655
13,16,21056
13,17,7971
13,18,26731
13,19,29730
13,20,42388
13,21,11479
13,22,7447
13,23,7652
13,24,45685
13,25,15492
13,26,20288
13,27,24217
13,28,11408
13,29,19604
13,30,31035
13,31,14537
13,33,11364
13,34,11381
13,35,12619
13,36,16869
13,37,6542
13,38,6987
13,39,11615
13,40,4672
13,41,6868
13,42,6858
13,43,30711
13,44,22514
13,45,8320
13,46,8726
13,47,16098
13,48,21860
13,49,17883
13,50,17319
13,51,20805
13,52,9557
13,53,26058
13,54,21002
13,55,7075
13,56,12504
13,57,23406
13,58,12929
13,59,5974
13,60,12527
13,61,19051
13,62,14499
13,63,9130
13,64,5910
13,65,9006
13,66,14561
13,67,11190
13,68,12090
13,69,8734
13,70,2661
13,71,5901
13,73,7453
13,74,12708
13,75,1650
13,76,274
14,1,19274
14,2,9766
14,3,15514
14,4,15970
14,5,28032
14,6,20707
14,7,18167
14,8,9837
14,9,9999
14,10,10293
14,11,9140
14,12,13806
14,13,16343
14,14,8172
14,15,7373
14,16,9231
14,17,10534
14,18,11524
14,19,9215
14,20,13254
14,23,9872
15,1,6654
15,2,2267
15,3,908
15,4,16962
15,5,29913
15,6,745
15,7,514
15,8,277
15,9,22119
15,13,467
15,14,216
15,15,678
16,1,9275
16,2,12920
16,3,9067
16,4,6697
16,6,3384
16,7,9946
16,8,8132
16,9,9736
16,10,3354
16,11,13592
16,12,18752
16,13,3497
16,14,28873
16,17,3946
16,18,8521
16,19,5492
16,20,35935
16,21,2328
16,22,11755
16,24,3
17,11,11941
17,13,131
17,14,40335
17,15,10246
17,17,8010
17,18,9717
17,19,15849
17,20,11001
17,21,18201
17,23,11828
17,24,7423
17,25,14500
17,26,13712
17,27,9000
17,29,10558
17,30,6840
17,31,16821
17,32,6618
17,33,2718
17,35,11065
17,36,3816
17,37,2
17,39,7381
17,40,4703
17,41,2
17,42,2099
17,43,1
18,1,2771
18,2,10326
18,3,16304
18,4,3236
18,5,2030
18,6,5743
18,7,10694
18,9,1892
18,10,5185
18,11,2755
18,12,3589
18,13,901
18,15,2045
18,16,1388
18,17,879
18,18,4767
18,19,1316
18,20,1760
18,21,2823
18,22,542
18,23,3971
18,24,1910
18,25,848
19,1,714
20,1,2446
20,2,674
20,3,765
20,5,674
20,6,530
20,9,645
20,10,357
21,1,1019
21,2,245
21,3,102
22,1,40302
22,2,23623
22,3,7011
22,4,5609
22,5,22153
22,6,8994
22,8,22980
22,9,4629
22,10,9714
22,11,7766
22,12,6586
22,13,5611
22,14,7441
22,15,4694
22,16,2621
22,17,13541
22,18,10482
22,19,15229
22,21,3539
22,23,6848
22,24,11389
22,26,9
23,1,24081
23,2,4965
23,3,4340
23,4,1908
23,5,1634
23,6,2008
23,7,3296
23,8,1722
23,9,3463
23,10,4984
23,11,5088
23,12,2024
23,13,3666
23,14,7434
23,15,8684
23,16,6331
23,17,4310
23,18,3465
23,19,6538
23,20,8730
23,21,4825
23,22,3138
23,23,6800
23,24,6057
23,25,6056
23,26,5279
23,27,5243
23,28,7788
23,29,7334
23,30,6438
23,31,5805
23,32,9630
23,33,4923
23,34,7103
23,35,7722
23,36,6701
